user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,49,77,0.0,0.492964875
False,piano,40,53,0.0,1.973482875
False,piano,40,56,0.0,1.973482875
False,piano,40,58,0.0,1.973482875
False,piano,40,61,0.0,1.973482875
True,piano,49,77,0.77922,0.902055375
True,piano,49,76,0.9090900000000001,1.031925375
True,piano,49,77,1.03896,1.285171875
True,piano,49,78,1.2987,1.544911875
True,piano,49,77,1.55844,1.804651875
True,piano,49,76,1.8181800000000001,2.064391875
True,piano,49,77,2.07792,2.570884875
False,piano,40,53,2.07792,4.051402875
False,piano,40,57,2.07792,4.051402875
False,piano,40,60,2.07792,4.051402875
False,piano,40,63,2.07792,4.051402875
True,piano,49,82,2.5974,3.090364875
True,piano,49,81,3.11688,3.6098448750000003
True,piano,49,78,3.6363600000000003,4.129324875
True,piano,49,77,4.15584,4.648804875
False,piano,40,53,4.15584,6.129322875
False,piano,40,56,4.15584,6.129322875
False,piano,40,60,4.15584,6.129322875
False,piano,40,61,4.15584,6.129322875
True,piano,49,77,4.935060000000001,5.057895375
True,piano,49,76,5.06493,5.187765375
True,piano,49,77,5.1948,5.441011875
True,piano,49,78,5.45454,5.700751875
True,piano,49,77,5.7142800000000005,5.960491875000001
True,piano,49,74,5.974019999999999,6.220231875
True,piano,49,75,6.23376,6.294907125
False,piano,40,55,6.23376,8.207242875
False,piano,40,58,6.23376,8.207242875
False,piano,40,61,6.23376,8.207242875
False,piano,40,63,6.23376,8.207242875
True,piano,49,77,6.2986949999999995,6.359842125
True,piano,49,75,6.363630000000001,6.424777125
True,piano,49,77,6.428565000000001,6.489712125
True,piano,49,75,6.4935,6.554647125000001
True,piano,49,77,6.558435,6.619582125
True,piano,49,75,6.6233699999999995,6.684517125
True,piano,49,77,6.688305,6.749452125
True,piano,49,75,6.753240000000001,6.814387125
True,piano,49,77,6.818175,6.879322125
True,piano,49,75,6.88311,6.944257125000001
True,piano,49,77,6.948045,7.009192125
True,piano,49,75,7.01298,7.074127125
True,piano,49,77,7.077915,7.139062125
True,piano,49,75,7.14285,7.203997125
True,piano,49,77,7.207785,7.268932125
True,piano,49,75,7.2727200000000005,7.402048875
True,piano,49,70,8.05194,8.298151875
True,piano,49,75,8.31168,8.804644875000001
False,piano,40,54,8.31168,10.285162875
False,piano,40,58,8.31168,10.285162875
False,piano,40,60,8.31168,10.285162875
False,piano,40,63,8.31168,10.285162875
True,piano,49,75,9.090900000000001,9.213735375
True,piano,49,77,9.22077,9.343605375000001
True,piano,49,78,9.35064,9.596851875
True,piano,49,75,9.61038,9.856591875
True,piano,49,73,9.870120000000002,10.116331874999998
True,piano,49,72,10.12986,10.376071875000001
True,piano,49,73,10.3896,10.882564875000002
False,piano,40,53,10.3896,12.363082875
False,piano,40,56,10.3896,12.363082875
False,piano,40,60,10.3896,12.363082875
False,piano,40,61,10.3896,12.363082875
True,piano,49,78,10.90908,11.402044875
True,piano,49,77,11.428560000000001,11.921524875
True,piano,49,73,11.948039999999999,12.441004875
True,piano,49,72,12.46752,12.960484874999999
False,piano,40,55,12.46752,14.441002875
False,piano,40,58,12.46752,14.441002875
False,piano,40,61,12.46752,14.441002875
False,piano,40,64,12.46752,14.441002875
True,piano,49,72,13.246739999999999,13.369575375
True,piano,49,70,13.37661,13.499445375
True,piano,49,72,13.506480000000002,13.752691875
True,piano,49,73,13.76622,14.012431875
True,piano,49,75,14.02596,14.272171875
True,piano,49,77,14.2857,14.531911875
True,piano,25,86,14.545440000000001,14.791651875000001
False,piano,53,58,14.545440000000001,14.668275375
False,piano,58,58,14.67531,14.798145374999999
False,piano,64,70,14.80518,15.051391875
False,piano,72,69,15.06492,15.249443625
False,piano,78,66,15.259725,15.444248625
False,piano,82,65,15.45453,15.577365375
True,piano,90,73,15.71427,15.775417124999999
True,piano,91,72,15.779205,15.840352125
True,piano,93,70,15.844140000000001,15.966975375
True,piano,97,72,15.97401,16.096845375
True,piano,100,70,16.10388,16.226715375
True,piano,104,72,16.23375,16.356585375
True,piano,108,77,16.36362,16.609831875
True,piano,96,70,16.62336,16.869571875000002
False,piano,105,34,16.62336,16.746195375
False,piano,105,41,16.62336,16.746195375
False,piano,105,34,16.75323,16.876065375
False,piano,105,41,16.75323,16.876065375
True,piano,96,82,16.8831,17.129311875
True,piano,96,81,17.14284,17.327363625
True,piano,96,78,17.337645000000002,17.522168625
True,piano,96,77,17.53245,17.655285375000002
True,piano,96,77,17.79219,17.853337125
True,piano,96,75,17.857125,17.918272124999998
True,piano,96,77,17.92206,18.044895375
True,piano,96,78,18.051930000000002,18.174765375
True,piano,96,77,18.181800000000003,18.304635375
True,piano,96,73,18.31167,18.434505375
True,piano,96,72,18.44154,18.564375375
True,piano,96,69,18.57141,18.694245374999998
True,piano,96,70,18.70128,18.947491875
False,piano,105,34,18.70128,18.824115375
False,piano,105,41,18.70128,18.824115375
False,piano,105,34,18.831149999999997,18.953985375000002
False,piano,105,41,18.831149999999997,18.953985375000002
True,piano,96,82,18.96102,19.207231874999998
True,piano,96,81,19.22076,19.405283625
True,piano,96,78,19.415565,19.600088625
True,piano,96,77,19.61037,19.733205375
False,piano,96,37,19.740240000000004,19.986451875
True,piano,96,77,19.87011,19.931257125000002
True,piano,96,75,19.935045,19.996192125
True,piano,96,77,19.99998,20.122815375000002
False,piano,96,34,19.99998,20.122815375000002
True,piano,96,78,20.129849999999998,20.252685375
False,piano,96,37,20.129849999999998,20.252685375
True,piano,96,77,20.25972,20.382555375
False,piano,96,36,20.25972,20.505931874999998
True,piano,96,82,20.389590000000002,20.450737125
True,piano,96,82,20.454525,20.515672125
True,piano,96,81,20.51946,20.642295375
False,piano,96,33,20.51946,20.765671875000002
True,piano,96,77,20.649330000000003,20.772165375
True,piano,96,70,20.7792,21.025411875
False,piano,96,34,20.7792,22.259176874999998
False,piano,96,41,20.7792,22.259176874999998
False,piano,96,46,20.7792,22.259176874999998
True,piano,96,82,21.03894,21.285151875
True,piano,96,81,21.29868,21.483203624999998
True,piano,96,78,21.493485000000003,21.678008625
True,piano,96,77,21.68829,21.811125375000003
True,piano,96,77,21.948030000000003,22.009177125
True,piano,96,75,22.012965,22.074112125
True,piano,96,77,22.0779,22.200735375
True,piano,96,78,22.20777,22.330605375
True,piano,96,77,22.33764,22.460475374999998
False,piano,96,33,22.33764,22.830604875000002
False,piano,96,45,22.33764,22.830604875000002
True,piano,96,73,22.46751,22.590345375000002
True,piano,96,72,22.59738,22.720215375000002
True,piano,96,69,22.72725,22.850085375
True,piano,96,70,22.857120000000002,23.103331875
False,piano,96,34,22.857120000000002,23.843590875
False,piano,96,41,22.857120000000002,23.843590875
False,piano,96,46,22.857120000000002,23.843590875
True,piano,96,82,23.11686,23.363071875
True,piano,96,81,23.3766,23.561123625
True,piano,96,78,23.571405000000002,23.755928625000003
True,piano,96,77,23.76621,23.889045375000002
False,piano,96,30,23.896079999999998,24.389044875000003
False,piano,96,42,23.896079999999998,24.389044875000003
True,piano,96,85,24.02595,24.087097125
True,piano,96,84,24.090885,24.152032125
True,piano,96,82,24.155820000000002,24.278655375000003
True,piano,96,84,24.28569,24.408525375
True,piano,96,82,24.415560000000003,24.538395375
False,piano,96,29,24.415560000000003,24.661771875
False,piano,96,41,24.415560000000003,24.661771875
True,piano,96,84,24.54543,24.668265374999997
True,piano,96,77,24.6753,24.921511875
True,piano,96,89,24.6753,24.921511875
